name,business_status,price_level,place_id,rating,types,lat,lng,open,old_neighborhood,neighborhood,borough,pull_date,pull_datetime,pull_week
Rice & Beans Restaurant,OPERATIONAL,1,ChIJKZW-HK9mwokRQyLSJV0W4uU,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7256838,-73.74010520000002,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Prima Pizza,OPERATIONAL,NA,ChIJ73zxZOpjwokRExmsj9sqgAk,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.728186,-73.7356641,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
BBQ MEAT SHOP,OPERATIONAL,1,ChIJr8fKujdiwokRhXzGPX73n_g,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.726422,-73.72654940000001,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Nancy's,OPERATIONAL,2,ChIJ18Gp7VpiwokRQoNxRqZCy3o,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7277778,-73.70888889999999,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Greek Family Kitchen,OPERATIONAL,2,ChIJo69sYG5iwokRfHD0dDQHR4k,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.733399,-73.75867989999999,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
L'Italiano Trattoria,OPERATIONAL,2,ChIJ88fU2O1hwokRIyXH7uwC-2g,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7480129,-73.7614504,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Mateus' Restaurant & Bar,OPERATIONAL,2,ChIJE6lQFzNiwokR_SGherneZ3o,4.4,"c(""restaurant"", ""bar"", ""food"", ""point_of_interest"", ""establishment"")",40.7207396,-73.7322453,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Luigi's,OPERATIONAL,2,ChIJq7l85XtiwokRiLieNJOBm68,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.749627,-73.707534,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Stella Ristorante,OPERATIONAL,2,ChIJr-V0cVliwokRe9QPfyn89Kc,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.728023,-73.705514,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Il Bacco,OPERATIONAL,2,ChIJXTketu-JwokR6rcaxvQrrOY,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7710789,-73.73481079999999,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
