name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood
The Penrose,CLOSED_TEMPORARILY,2,ChIJE1SK5LtYwokRH1APiOrZNq0,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7667694,-73.96758609999999,FALSE,Upper East Side
San Matteo Pizzeria e Cucina,OPERATIONAL,2,ChIJlSK2ub5YwokRXuBr8tkYY9w,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7834926,-73.9528729,TRUE,Upper East Side
The Meatball Shop,OPERATIONAL,2,ChIJZ_Xreb9YwokRkXcKcSWi8-k,4.3,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.761917,-73.9605357,TRUE,Upper East Side
Via Quadronno,OPERATIONAL,2,ChIJ-ZWIqZRYwokRQ9ZhSMN8FkI,4.2,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.7743295,-73.95367630000001,TRUE,Upper East Side
Caravaggio,OPERATIONAL,3,ChIJ9aRJopRYwokRTTPRXTCYgLE,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7721816,-73.95561289999999,TRUE,Upper East Side
David Burke Tavern,OPERATIONAL,3,ChIJdcjMFu9YwokR6w1K45p4Q7k,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7712773,-73.95281270000001,TRUE,Upper East Side
Maison Kayser,CLOSED_TEMPORARILY,2,ChIJAyloAsBYwokR6fNm4U7n2UI,4.4,"c(""bakery"", ""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.7762833,-73.9565583,FALSE,Upper East Side
Tri Dim Shanghai Restaurant and Bar 鼎豐,OPERATIONAL,2,ChIJ9WCDTL5YwokRhBUL20yZeso,4.1,"c(""meal_delivery"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.769951,-73.9578638,TRUE,Upper East Side
Jones Wood Foundry,OPERATIONAL,2,ChIJAbAvU8dYwokRwAvBDqWmDMo,4.4,"c(""meal_takeaway"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76758700000001,-73.95284099999999,TRUE,Upper East Side
Tony's Di Napoli,OPERATIONAL,2,ChIJ9-ey3ehYwokRWPZl-y_GRBk,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76635,-73.9657833,TRUE,Upper East Side
Erminia,CLOSED_TEMPORARILY,3,ChIJm4W_-LtYwokRx8Mu-H1GFzM,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.78117779999999,-73.95248889999999,FALSE,Upper East Side
Kappo Masa,OPERATIONAL,4,ChIJ9w07X5RYwokR5eolQAZ49C4,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7714726,-73.9591308,TRUE,Upper East Side
Tiella,OPERATIONAL,2,ChIJGavSwOdYwokRDp8400Ek-xU,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7710523,-73.9593375,TRUE,Upper East Side
The Drunken Munkey - UES,OPERATIONAL,2,ChIJi8Yi9a9YwokRco5vySESCUk,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7650225,-73.9676044,TRUE,Upper East Side
Angkor Cambodian Bistro,OPERATIONAL,2,ChIJ0yUJpsJYwokRK2HZozxdC-c,4.6,"c(""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7750295,-73.9535487,TRUE,Upper East Side
Avra Madison Estiatorio,OPERATIONAL,4,ChIJK_nYHfBYwokR03Tv5S3dW1s,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.776356,-73.9567749,TRUE,Upper East Side
OM,OPERATIONAL,2,ChIJl74O_7tYwokRZt30xOhtNAQ,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7715096,-73.956073,TRUE,Upper East Side
Moti Mahal Delux,OPERATIONAL,2,ChIJA3C4DuhYwokR2UT5yg9AZR0,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7650865,-73.9657054,TRUE,Upper East Side
